stamp_sec,source,seq_num,waypoint_idx,x,y,theta,image_path,curr_image_path,goal
1786370258.769873,sys1,77,0,0.073438,-0.010254,-0.128230,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys1,77,1,0.142969,-0.027930,-0.224168,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys1,77,2,0.221875,-0.049219,-0.289583,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys1,77,3,0.290625,-0.071484,-0.376152,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys1,77,4,0.348438,-0.093359,-0.430501,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys1,77,5,0.412500,-0.125000,-0.479381,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys1,77,6,0.475000,-0.159375,-0.489843,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys1,77,7,0.531250,-0.193750,-0.554465,data/images_20260810_235716/seq_77.jpg,data/images_20260810_235716/seq_79.jpg,Move toward the grey cabinet
1786370258.769873,sys2,80,0,0.400000,0.154688,0.122787,data/images_20260810_235716/seq_80.jpg,data/images_20260810_235716/seq_80.jpg,Move toward the grey cabinet
1786370258.769873,sys2,80,1,0.659850,0.166780,-0.039600,data/images_20260810_235716/seq_80.jpg,data/images_20260810_235716/seq_80.jpg,Move toward the grey cabinet
1786370258.769873,sys2,80,2,0.985810,0.184554,-0.077180,data/images_20260810_235716/seq_80.jpg,data/images_20260810_235716/seq_80.jpg,Move toward the grey cabinet
1786370258.769873,sys2,80,3,1.291748,0.310559,0.159505,data/images_20260810_235716/seq_80.jpg,data/images_20260810_235716/seq_80.jpg,Move toward the grey cabinet
1786370258.769873,sys2,80,4,1.842667,0.388157,-0.311955,data/images_20260810_235716/seq_80.jpg,data/images_20260810_235716/seq_80.jpg,Move toward the grey cabinet
1786370258.769873,sys2,80,5,2.429173,-0.012767,-1.575837,data/images_20260810_235716/seq_80.jpg,data/images_20260810_235716/seq_80.jpg,Move toward the grey cabinet
1786370258.769873,sys2,80,6,2.246860,-0.843108,-3.028481,data/images_20260810_235716/seq_80.jpg,data/images_20260810_235716/seq_80.jpg,Move toward the grey cabinet
