stamp_sec,source,seq_num,waypoint_idx,x,y,theta,image_path,curr_image_path,end_image_path,sys2_inference_ms,goal
1786399359.829919,sys2,83,0,0.226562,0.074609,0.094545,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399359.829919,sys2,83,1,0.279688,0.015332,-0.078700,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399359.829919,sys2,83,2,0.315625,-0.006934,-0.081714,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399359.829919,sys2,83,3,0.351562,0.096094,0.061266,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399359.829919,sys2,83,4,0.540625,-0.033008,-0.536511,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399359.829919,sys2,83,5,0.800000,-0.076563,-1.155628,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399359.829919,sys2,83,6,0.887500,-0.063281,-1.155596,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399359.829919,sys2,83,7,0.665625,0.001575,-0.077558,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,data/images_20260811_080217/seq_83.jpg,95.447,Move toward the grey cabinet along the chair
1786399360.829876,sys1,88,0,0.076563,-0.004785,-0.014830,data/images_20260811_080217/seq_88.jpg,data/images_20260811_080217/seq_89.jpg,data/images_20260811_080217/seq_88.jpg,88.271,Move toward the grey cabinet along the chair
1786399360.829876,sys1,88,1,0.152344,-0.007617,-0.012267,data/images_20260811_080217/seq_88.jpg,data/images_20260811_080217/seq_89.jpg,data/images_20260811_080217/seq_88.jpg,88.271,Move toward the grey cabinet along the chair
