stamp_sec,source,seq_num,waypoint_idx,x,y,theta,image_path,curr_image_path,goal
1786396037.378622,sys1,85,0,0.073438,-0.010254,-0.128230,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys1,85,1,0.142969,-0.027930,-0.224168,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys1,85,2,0.221875,-0.049219,-0.289583,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys1,85,3,0.290625,-0.071484,-0.376152,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys1,85,4,0.348438,-0.093359,-0.430501,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys1,85,5,0.412500,-0.125000,-0.479381,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys1,85,6,0.475000,-0.159375,-0.489843,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys1,85,7,0.531250,-0.193750,-0.554465,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_87.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,0,0.400000,0.154688,0.122787,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,1,0.259375,-0.019824,-0.162387,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,2,0.325000,0.030664,-0.037580,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,3,0.295313,0.149219,0.236685,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,4,0.556250,-0.010889,-0.471460,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,5,0.681250,-0.201563,-1.263882,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,6,0.831250,-0.178125,-1.452644,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396037.378622,sys2,85,7,0.643750,-0.271875,-0.520388,data/images_20260811_070655/seq_85.jpg,data/images_20260811_070655/seq_85.jpg,Move toward the grey cabinet
1786396038.378574,sys1,92,0,0.070312,-0.014258,-0.134034,data/images_20260811_070655/seq_92.jpg,data/images_20260811_070655/seq_94.jpg,Move toward the grey cabinet
1786396038.378574,sys1,92,1,0.139063,-0.034180,-0.212732,data/images_20260811_070655/seq_92.jpg,data/images_20260811_070655/seq_94.jpg,Move toward the grey cabinet
1786396038.378574,sys1,92,2,0.217188,-0.055859,-0.266766,data/images_20260811_070655/seq_92.jpg,data/images_20260811_070655/seq_94.jpg,Move toward the grey cabinet
