stamp_sec,source,seq_num,waypoint_idx,x,y,theta,image_path,curr_image_path,goal
1786396180.133621,sys1,76,0,0.075781,-0.004712,-0.022945,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys1,76,1,0.151563,-0.008545,-0.022579,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys1,76,2,0.228125,-0.007471,-0.021725,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys1,76,3,0.300000,-0.006299,-0.024653,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys1,76,4,0.365625,-0.004541,-0.001099,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys1,76,5,0.431250,-0.006738,0.020383,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys1,76,6,0.493750,-0.010400,0.007934,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys1,76,7,0.559375,-0.014746,-0.004211,data/images_20260811_070918/seq_76.jpg,data/images_20260811_070918/seq_82.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,0,0.226562,0.074609,0.094545,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,1,0.279688,0.015332,-0.078700,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,2,0.315625,-0.006934,-0.081714,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,3,0.351562,0.096094,0.061266,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,4,0.540625,-0.033008,-0.536511,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,5,0.800000,-0.076563,-1.155628,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,6,0.887500,-0.063281,-1.155596,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396180.133621,sys2,81,7,0.665625,0.001575,-0.077558,data/images_20260811_070918/seq_81.jpg,data/images_20260811_070918/seq_81.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,0,0.075781,-0.004834,-0.006439,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,1,0.150781,-0.007715,-0.003662,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,2,0.226562,-0.005029,0.000641,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,3,0.296875,-0.002917,0.000191,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,4,0.362500,0.000879,0.031240,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,5,0.428125,0.001367,0.070471,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,6,0.490625,0.001074,0.075347,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys1,84,7,0.553125,0.001318,0.064616,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
1786396181.133639,sys2,84,0,0.257812,0.108594,0.102291,data/images_20260811_070918/seq_84.jpg,data/images_20260811_070918/seq_84.jpg,Move toward the grey cabinet along the chair
