stamp_sec,source,seq_num,waypoint_idx,x,y,theta,image_path,curr_image_path,end_image_path,sys2_inference_ms,goal
1786399408.513808,sys1,87,0,0.073047,-0.010205,-0.128230,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys1,87,1,0.142969,-0.028125,-0.224168,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys1,87,2,0.221875,-0.049219,-0.289583,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys1,87,3,0.290625,-0.071484,-0.376152,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys1,87,4,0.348438,-0.093359,-0.433910,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys1,87,5,0.412500,-0.125000,-0.481113,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys1,87,6,0.475000,-0.159375,-0.489843,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys1,87,7,0.531250,-0.193750,-0.554465,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys2,87,0,0.400000,0.154688,0.122787,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
1786399408.513808,sys2,87,1,0.259375,-0.019824,-0.162387,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_87.jpg,data/images_20260811_080306/seq_88.jpg,88.440,Move toward the grey cabinet
